id,Text,Spam
1,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,0
2,ok lar joking wif u oni,0
3,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s,1
4,u dun say so early hor u c already then say,0
5,nah i dont think he goes to usf he lives around here though,0
6,freemsg hey there darling its been 3 weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send 150 to rcv,1
7,even my brother is not like to speak with me they treat me like aids patent,0
8,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,0
9,winner as a valued network customer you have been selected to receivea 900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only,1
10,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030,1
11,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,0
12,six chances to win cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,1
13,urgent you have won a 1 week free membership in our 100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,1
14,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,0
15,i have a date on sunday with will,0
16,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,1
17,oh kim watching here,0
18,eh u remember how 2 spell his name yes i did he v naughty make until i v wet,0
19,fine if thats the way u feel thats the way its gota b,0
20,england v macedonia dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txt120 poboxox36504w45wq 16,1
21,is that seriously how you spell his name,0
22,im going to try for 2 months ha ha only joking,0
23,so pay first lar then when is da stock comin,0
24,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,0
25,ffffffffff alright no way i can meet up with you sooner,0
26,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,0
27,lol your always so convincing,0
28,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love,0
29,im back amp were packing the car now ill let you know if theres room,0
30,ahhh work i vaguely remember that what does it feel like lol,0
31,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,0
