id,Text,Spam
4520,that sucks so what do you got planned for your yo valentine i am your yo valentine arent i,0
2627,free ring tone just text polys to 87131 then every week get a new tone 0870737910216yrs only 150wk,1
2077,must come later i normally bathe him in da afternoon mah,0
4060,hi di is yijue were meeting at 7 pm at esaplanade tonight,0
1408,urgent important information for o2 user today is your lucky day 2 find out why log onto httpwwwurawinnercom there is a fantastic surprise awaiting for you,1
849,i am in officewhats the mattermsg me nowi will call you at break,0
1608,ok no prob ill come after lunch then,0
5438,am slow in using biolas fne,0
2855,i doubt you could handle 5 times per night in any case,0
4929,wanna do some art d,0
5372,lol oh you got a friend for the dog,0
4552,hey do u fancy meetin me at 4 at cha hav a lil beverage on me if not txt or ring me and we can meet up l8r quite tired got in at 3 vpist love pete x x x,0
750,is there a reason weve not spoken this year anyways have a great week and all the best in your exam,0
1356,baaaaabe i misss youuuuu where are you i have to go and teach my class at 5,0
1677,painful words i thought being happy was the most toughest thing on earth but the toughest is acting happy with all unspoken pain inside,0
5114,u definitely need a module from e humanities dis sem izzit u wan 2 take other modules 1st,0
202,i sent you ltgt bucks,0
2660,not yet chikkuwat abt u,0
5545,im taking derek amp taylor to walmart if im not back by the time youre done just leave the mouse on my desk and ill text you when priscillas ready,0
1074,dear uve been invited to xchat this is our final attempt to contact u txt chat to 86688,1
5030,go chase after her and run her over while shes crossing the street,0
4459,aight should i just plan to come up later tonight,0
2960,u have a secret admirer reveal who thinks u r so special call 09065174042 to opt out reply reveal stop 150 per msg recd cust care 07821230901,1
2162,no its not specialisation can work but its slave labor will look for it this month sha cos no shakara 4 beggar,0
1240,dear relieved of westonzoyland all going to plan this end too,0
502,fighting with the world is easy u either win or lose bt fightng with some1 who is close to u is dificult if u lose u lose if u win u still lose,0
1416,so wats ur opinion abt him and how abt is character,0
3701,how i noe did specify da domain as nusstu still in sch,0
923,on ma way to school can you pls send me ashleys number,0
4121,hiya do u like the hlday pics looked horrible in them so took mo out hows the camp amrca thing speak soon serena,0
2933,hi test on ltgt rd,0
346,my sister cleared two round in birla soft yesterday,0
3141,is ur lecture over,0
2515,u have won a nokia 6230 plus a free digital camera this is what u get when u win our free auction to take part send nokia to 83383 now pobox11414tcrw1 16,1
3304,stop calling everyone saying i might have cancer my throat hurts to talk i cant be answering everyones calls if i get one more call im not babysitting on monday,0
5266,gud ni8swt drmstake care,0
869,private your 2003 account statement for 07808 xxxxxx shows 800 unredeemed s i m points call 08719899217 identifier code 41685 expires 071104,1
4254,send ur birthdate with month and year i will tel u ur life partners name and the method of calculation reply must,0
1136,u wake up already thanx 4 e tau sar piah its quite nice,0
5206,had your mobile 11mths update for free to oranges latest colour camera mobiles unlimited weekend calls call mobile upd8 on freefone 08000839402 or 2stoptxt,1
5273,hellohow u doingwhat u been up 2when will u b moving out of the flat cos i will need to arrange to pick up the lamp etc take care hello caroline,0
1053,do u noe wat time e place dat sells 4d closes,0
2816,alright if youre sure let me know when youre leaving,0
2147,sunshine hols to claim ur med holiday send a stamped self address envelope to drinks on us uk po box 113 bray wicklow eire quiz starts saturday unsub stop,1
2977,dont worry is easy once have ingredients,0
4229,buy one egg for me daplease,0
4994,im hungry buy smth home,0
4686,my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge,0
